ID,Area,Feature,User Story,Expected Behavior (from code),Route/Component,Status,Test Result,Errors Found,Fix Applied,Re-test Result,Round 2 Re-test (2026-08-10)
US-012,Token Page,Iframe check endpoint,"As an iframe, when loaded at /token/iframeCheck, I see a minimal status page",Returns HTML with app-data JSON (isAgeVerified + payload from cookie).,GET /token/iframeCheck,Pass,HTML 200 with isAgeVerified:false (no cookie),No,No issues,,Pass — HTTP 200 + isAgeVerified:false
US-013,Verification Flow,Selfie age detection,"As a user, I can verify my age via selfie (webcam)",Select selfie tab → webcam → face-api age estimation → /result/success.,Token page selfie flow,Skipped,Requires webcam,-,-,,Skipped (webcam)
US-014,Verification Flow,Scan ID age verification,"As a user, I can verify my age by scanning an ID document",Select scanId tab → webcam/upload → Tesseract OCR → /result/success.,Token page scanId flow,Skipped,Requires webcam/document,-,-,,Skipped (webcam)
US-015,Verification Flow,Terms and conditions,"As a user, I must agree to terms before starting verification",Terms checkbox present. Must check before Start.,Token start page,Pass,Terms checkbox present. JS intercepts link click to show inline terms.,No (BUG-05 fixed /terms/ fallback),Added /terms/ route for no-JS fallback,Pass — /terms/ returns 200,,Pass — /terms/ HTTP 200
US-016,Verification Flow,Verification type selection,"As a user, I can switch between selfie and scanId",Two tabs on start page. Clicking changes selected type.,Token start page tabs,Pass,Both tabs (selfie/scanId) present,No,No issues,,Pass — both selfie+scanId tabs present
US-017,Result Flow,Result success,"As the verification page, when age check passes, POST /result/success is called",Valid token + cookie → verify → end session SUCCESS → return successPayload → set isAgeVerified cookie.,POST /result/success,Pass,Returns successPayload + Set-Cookie isAgeVerified,No,No issues,,Pass — successPayload returned + isAgeVerified cookie set
US-018,Result Flow,Result fail,"As the verification page, when age check fails, POST /result/fail is called",Valid failKey + cookie → verify → end session FAILED → return success.,POST /result/fail,Pass,Returns { success: 1 },No,No issues,,Pass — returns success=1
US-019,Result Flow,Result isSuccess polling,"As the verification page, I poll /result/isSuccess to check completion",Cookie required. DO lookup by payloadHash. Returns { isValidated: bool }.,POST /result/isSuccess,Pass,Returns isValidated:false (failed session) / true (success session),No,No issues,,"Pass — isValidated:true after success, false before"
US-020,Result Flow,Result success without session,"As an attacker, POST /result/success without cookie returns error",Returns 30010 'Session not found'.,POST /result/success,Pass,Returns 30010,No,No issues,,Pass — 30010 Session not found (with valid stepId)
US-021,Result Flow,Result success with invalid token,"As an attacker, wrong token returns 30009",Records errorCode 30009 → returns 'Invalid token'.,POST /result/success,Pass,Returns 30009,No,No issues,,Pass — 30009 Invalid token
US-022,Result Flow,Result after max duration,"As a user, verification taking >20 min is rejected",Server checks (now - accessTime) >= 20min → 30008.,POST /result/success+fail,Pass (unit tested),Verified in unit tests,No,No issues,,Pass — unit tested (maxDuration check)
US-023,Validation,Validate verification payload,"As a partner, POST /validateVerificationPayload with success payload returns session ID",Decrypt → check stateInt===SUCCESS → return sessionId.,POST /validateVerificationPayload,Pass,Returns { sessionId, success: 1 }. Garbage → 30002.,No,No issues,,Pass — garbage → 30002
US-024,Callback,Partner callback dispatch,"As a partner, callback URL receives POST with result data on completion",DO dispatchCallback POSTs urlencoded data. 5s timeout. Retry alarm up to 5 attempts.,DO dispatchCallback + alarm,Pass (integration tested),DO integration tests verify callback dispatch + retry,No,No issues,,Pass — DO integration tests verify callback dispatch + retry
US-025,Callback,Callback endpoint (demo),"As the demo, POST /callback logs callback + records analytics",Logs stateInt+sessionId only. Analytics Engine data point. Returns success.,POST /callback,Pass,Returns { success: 1 }. Malformed body → 400 30000.,No,No issues,,Pass — valid → success=1; malformed → 30000/400
US-026,Security,Session cookie signing,"As the system, session cookies are HMAC-signed and tamper-proof",avs-session = base(payloadHash:requestId).hmacHex. crypto.subtle.verify on every request.,middleware/session.ts,Pass (unit tested),12 unit tests cover sign/verify/tamper detection,No,No issues,,Pass — 12 unit tests green
US-027,Security,isAgeVerified cookie,"As a verified user, browser stores isAgeVerified cookie with success payload",Set-Cookie on /result/success. HttpOnly; Secure; SameSite=Lax; Max-Age=7d.,result.ts + token.ts,Pass,Set-Cookie header present in US-017 response,No,No issues,,Pass — isAgeVerified cookie observed in US-017
US-028,Security,Rate limiting,"As the system, POST endpoints rate-limited to 30/60s per IP",Per-isolate map. Over limit → 429 rate_limited + Retry-After: 60.,index.ts,Pass,Blocked at request #31 (HTTP 429),No,No issues,,Pass — exactly 30 allowed then 429 (fresh IP)
US-029,Security,SSRF protection on callbackUrl,"As the system, callback URLs validated before use",isSafeCallbackUrl blocks non-http(s), localhost, private ranges, IPv6 loopback/ULA, metadata IP.,lib/url.ts,Pass,127.0.0.1 → private_range. localhost → loopback. Both blocked.,No,No issues,,Pass — 127.0.0.1 blocked (private_range)
US-030,Security,Encryption key validation,"As the system, app refuses to boot with missing/leaked ENCRYPTION_KEY",getConfig throws if missing/not-32-bytes/leaked key. DO same.,config.ts + DO,Pass,Leaked key in .dev.vars caused boot crash → fixed,BUG-01: .dev.vars had leaked key,Fixed — replaced with valid generated key,,Pass — server boots with valid key
US-031,Security,Security headers,"As the system, all responses include security headers",Permissions-Policy, X-Content-Type-Options, Referrer-Policy, HSTS, CSP.,index.ts,Pass,All 5 headers on pages AND static assets,BUG-03: static assets had no headers (pre-fix),Fixed via run_worker_first: true,Pass — all headers on assets,,Pass — all headers on pages AND assets (HEAD too)
US-032,Security,CORS handling,"As a partner, cross-origin reads blocked unless origin allowlisted",Empty ALLOWED_ORIGINS → no ACAO header → browser blocks. OPTIONS → 204.,index.ts,Pass,No ACAO on responses. OPTIONS → 204.,No,No issues,,Pass — no ACAO without allowlist; OPTIONS → 204
US-033,Static Assets,Static file serving,"As a visitor, static assets served from ASSETS binding",Non-route paths → env.ASSETS.fetch. 404 if not found.,index.ts asset fallback,Pass,CSS/JS/SVG all HTTP 200. Nonexistent → 404.,No,No issues,,"Pass — CSS 200, nonexistent 404"
US-034,Error Handling,404 catch-all,"As a visitor, unknown path returns 404",Unmatched route + no asset → 404.,index.ts,Pass,HTTP 404,No,No issues,,Pass — 404
US-035,Error Handling,500 catch-all,"As the system, unhandled exceptions return 500",try/catch → Response('Internal Server Error', 500) + security headers.,index.ts,Pass (code verified),Code path verified,No,No issues,,Pass — code path verified
US-036,Misc,Test endpoint,"As a developer, GET /test returns 'test'",Returns plain text 'test' 200.,GET /test,Pass,Returns 'test' HTTP 200,No,No issues,,"Pass — returns ""test"""
